Date,Rainfall ,MinT,MaxT,Env,backup
4/29/17,0,22.9,29,Kobo,29
4/30/17,0,23.7,30,Kobo,30
5/1/17,0,24.3,30,Kobo,30
5/2/17,0,23.1,31.1,Kobo,31.1
5/3/17,0,24.5,31,Kobo,31
5/4/17,0,24.5,32,Kobo,32
5/5/17,0,24.7,31.3,Kobo,31.3
5/6/17,0,25.9,33,Kobo,33
5/7/17,0,25.1,32,Kobo,32
5/8/17,0,25.7,33.1,Kobo,33.1
5/9/17,0,23.9,32.8,Kobo,32.8
5/10/17,0,25.2,33,Kobo,33
5/11/17,0,24.7,33.3,Kobo,33.3
5/12/17,0,24.8,33.4,Kobo,33.4
5/13/17,0,26.1,32,Kobo,32
5/14/17,0,26.4,33.4,Kobo,33.4
5/15/17,0,24.5,32.4,Kobo,32.4
5/16/17,0,25.3,34.6,Kobo,34.6
5/17/17,0,25.9,32.6,Kobo,32.6
5/18/17,0,26.5,34,Kobo,34
5/19/17,2.2,25.4,32,Kobo,32
5/20/17,0,23.9,29.3,Kobo,29.3
5/21/17,0,24.9,32,Kobo,32
5/22/17,0,24,33,Kobo,33
5/23/17,0,26,34,Kobo,34
5/24/17,0,25.2,34,Kobo,34
5/25/17,0,25.4,34,Kobo,34
5/26/17,0,26.2,33,Kobo,33
5/27/17,0,26.8,35,Kobo,35
5/28/17,0,26,34,Kobo,34
5/29/17,0,27,31,Kobo,31
5/30/17,0,26.9,35,Kobo,35
5/31/17,0,26.2,33.3,Kobo,33.3
6/1/17,0,26.6,33.1,Kobo,33.1
6/2/17,0,26.8,34.6,Kobo,34.6
6/3/17,0,27,34.3,Kobo,34.3
6/4/17,0,27.4,35.6,Kobo,35.6
6/5/17,0,28.1,36,Kobo,36
6/6/17,0,27.9,34.8,Kobo,34.8
6/7/17,0,27,33.6,Kobo,33.6
6/8/17,0,28.5,36,Kobo,36
6/9/17,0,28,35.6,Kobo,35.6
6/10/17,0,27.9,36,Kobo,36
6/11/17,0,28.3,37.1,Kobo,37.1
6/12/17,2.8,28.1,34,Kobo,34
6/13/17,7.5,26.6,33,Kobo,33
6/14/17,3.8,25.1,32.5,Kobo,32.5
6/15/17,4.6,25.7,32.3,Kobo,32.3
6/16/17,0,23,32.5,Kobo,32.5
6/17/17,0,27.2,35.1,Kobo,35.1
6/18/17,0,25.5,33.6,Kobo,33.6
6/19/17,0,25.7,34.5,Kobo,34.5
6/20/17,0,27.7,35.2,Kobo,35.2
6/21/17,0,28.1,36.2,Kobo,36.2
6/22/17,0,28.2,34,Kobo,34
6/23/17,3.3,27.9,33.8,Kobo,33.8
6/24/17,0,24.9,31.3,Kobo,31.3
6/25/17,0,22.4,33.4,Kobo,33.4
6/26/17,0,26.3,32.4,Kobo,32.4
6/27/17,0,26.5,33.4,Kobo,33.4
6/28/17,0,28.7,35.2,Kobo,35.2
6/29/17,0,28.2,35.3,Kobo,35.3
6/30/17,8.4,27.8,34.2,Kobo,34.2
7/1/17,0,25.9,33.6,Kobo,33.6
7/2/17,0,27.1,34,Kobo,34
7/3/17,0,26.6,35,Kobo,35
7/4/17,0,27.5,35,Kobo,35
7/5/17,13.8,26.7,33.6,Kobo,33.6
7/6/17,9.4,25.9,32.6,Kobo,32.6
7/7/17,0,25.8,32.3,Kobo,32.3
7/8/17,2.9,25.3,31.9,Kobo,31.9
7/9/17,3.1,25.5,32.3,Kobo,32.3
7/10/17,0,25.5,32.3,Kobo,32.3
7/11/17,14.3,24.9,32.3,Kobo,32.3
7/12/17,2.5,25.1,31.5,Kobo,31.5
7/13/17,2.3,24.7,31,Kobo,31
7/14/17,0,24.5,32,Kobo,32
7/15/17,0,25.7,33.3,Kobo,33.3
7/16/17,8.5,25.9,31.8,Kobo,31.8
7/17/17,2.3,25.8,31.8,Kobo,31.8
7/18/17,10.5,26.2,33.5,Kobo,33.5
7/19/17,0,24.7,32,Kobo,32
7/20/17,26,25.1,32,Kobo,32
7/21/17,4.2,24.5,31,Kobo,31
